sucursal,codigo,uc,p1,p2,p3,m1,m2,m3
C,0200575,0.00,783.00,783.00,783.00,100.00,100.00,100.00
C,0200580,128.11,363.89,363.89,363.89,64.79,64.79,64.79
C,0200585,0.00,1280.00,1280.00,1280.00,100.00,100.00,100.00
C,0200590,0.00,456.00,456.00,456.00,100.00,100.00,100.00
C,0210505,182.16,253.00,253.00,253.00,28.00,28.00,28.00
C,0210510,157.87,220.00,220.00,220.00,28.24,28.24,28.24
C,0210512,0.00,384.00,384.00,384.00,100.00,100.00,100.00
C,0210515,190.40,360.00,360.00,360.00,47.11,47.11,47.11
C,0210520,0.00,384.00,384.00,384.00,100.00,100.00,100.00
C,0210550,289.90,434.00,434.00,434.00,33.20,33.20,33.20
C,0210555,312.00,434.00,434.00,434.00,28.11,28.11,28.11
C,0210556,312.00,434.00,434.00,434.00,28.11,28.11,28.11
C,0210557,312.00,434.00,434.00,434.00,28.11,28.11,28.11
C,0210558,312.00,434.00,434.00,434.00,28.11,28.11,28.11
C,0210559,312.00,434.00,434.00,434.00,28.11,28.11,28.11
C,0210560,427.00,771.00,771.00,771.00,44.62,44.62,44.62
C,0210561,240.01,434.00,434.00,434.00,44.70,44.70,44.70
C,0210562,312.00,434.00,434.00,434.00,28.11,28.11,28.11
C,0210563,312.00,434.00,434.00,434.00,28.11,28.11,28.11
C,0210564,312.00,434.00,434.00,434.00,28.11,28.11,28.11
C,0210565,312.00,434.00,434.00,434.00,28.11,28.11,28.11
C,0210566,0.00,434.00,434.00,434.00,100.00,100.00,100.00
C,0210570,489.72,680.00,680.00,680.00,27.98,27.98,27.98
C,0210572,718.74,1000.00,1000.00,1000.00,28.13,28.13,28.13
C,0210575,0.00,781.00,781.00,781.00,100.00,100.00,100.00
C,0210580,742.80,1032.00,1032.00,1032.00,28.02,28.02,28.02
C,0210585,630.00,1157.00,1157.00,1157.00,45.55,45.55,45.55
C,0210595,195.00,271.00,271.00,271.00,28.04,28.04,28.04
C,0220505,390.00,555.00,555.00,555.00,29.73,29.73,29.73
C,0260505,1339.20,1648.00,1648.00,1648.00,18.74,18.74,18.74
C,0260510,1537.92,1920.00,1920.00,1920.00,19.90,19.90,19.90
C,0260515,1382.40,1720.00,1720.00,1720.00,19.63,19.63,19.63
C,0760505,117.44,120.60,120.60,120.60,2.62,2.62,2.62
C,0760510,103.20,144.72,144.72,144.72,28.69,28.69,28.69
C,0760520,0.00,262.00,262.00,262.00,100.00,100.00,100.00
