sucursal,codigo,p1,p2,p3,cp,uc,m1,m2,m3
C,2030220,297,297,297,211.46,211.46,40.45,40.45,40.45
C,2030222,297,297,297,17.54,211.46,40.45,40.45,40.45
C,2030225,560,560,560,408,384.28,45.73,45.73,45.73
C,2030230,265,265,265,211.46,211.46,25.32,25.32,25.32
C,2030232,481,481,481,323.98,323.98,48.47,48.47,48.47
C,2030235,405,405,405,184.3,184.3,119.75,119.75,119.75
C,2030240,481,481,481,384.12,384.12,25.22,25.22,25.22
C,2030242,124.06,124.06,124.06,82,82,51.29,51.29,51.29
C,2030244,288,288,288,116.4,116.4,147.42,147.42,147.42
C,2030245,405,405,405,323.98,323.98,25.01,25.01,25.01
C,2030255,730,730,730,242.5,242.5,201.03,201.03,201.03
C,2030260,1101,1101,1101,880.76,880.76,25.01,25.01,25.01
C,2030305,1619,1619,1619,145.5,145.56,1012.26,1012.26,1012.26
C,2030310,235.3,235.3,235.3,27.84,27.84,745.19,745.19,745.19
C,2030315,1364,1364,1364,698.4,698.4,95.3,95.3,95.3
C,2030320,1372,1372,1372,460.75,460.76,197.77,197.77,197.77
C,2030410,407,407,407,259.96,324.96,25.25,25.25,25.25
C,2030415,322,322,322,160.05,161.31,99.62,99.62,99.62
C,2030505,473,473,473,94.09,94.09,402.71,402.71,402.71
C,2030510,284,284,284,226.98,226.98,25.12,25.12,25.12
C,2030515,238,238,238,190.12,190.12,25.18,25.18,25.18
C,2030610,510,510,510,155.2,155.24,228.52,228.52,228.52
C,2280505,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2280510,444,444,444,272.45,272.46,62.96,62.96,62.96
C,2280515,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2280520,444,444,444,333.12,333.12,33.29,33.29,33.29
C,2280525,444,444,444,333.11,333.11,33.29,33.29,33.29
C,2280530,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2280535,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2280540,444,444,444,272.45,272.46,62.96,62.96,62.96
C,2280545,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2280550,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2280555,444,444,444,101.17,125.9,252.66,252.66,252.66
C,2280560,444,444,444,272.45,272.46,62.96,62.96,62.96
C,2280565,444,444,444,119.59,119.59,271.27,271.27,271.27
C,2280570,444,444,444,272.45,272.46,62.96,62.96,62.96
C,2280575,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2280580,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2280585,444,444,444,157.96,157.97,181.07,181.07,181.07
C,2280590,444,444,444,199.01,199.01,123.1,123.1,123.1
C,2281005,444,444,444,137.6,137.61,222.65,222.65,222.65
C,2281010,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2281015,444,444,444,272.45,272.46,62.96,62.96,62.96
C,2281020,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2281025,444,444,444,333.11,333.11,33.29,33.29,33.29
C,2281030,444,444,444,272.45,272.47,62.95,62.95,62.95
C,2281035,444,444,444,157.96,157.97,181.07,181.07,181.07
C,2281040,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2281045,444,444,444,272.45,272.46,62.96,62.96,62.96
C,2281050,444,444,444,189.98,190,133.68,133.68,133.68
C,2281055,444,444,444,333.11,333.12,33.29,33.29,33.29
C,2281060,444,444,444,333.12,333.13,33.28,33.28,33.28
C,2282005,191,191,191,83.51,83.52,128.69,128.69,128.69
C,2282010,191,191,191,94.98,94.98,101.09,101.09,101.09
C,2282015,191,191,191,94.97,94.98,101.09,101.09,101.09
C,2282020,191,191,191,113.26,113.27,68.62,68.62,68.62
C,2283015,421,421,421,244.98,244.99,71.84,71.84,71.84
C,2283030,428,428,428,320.71,320.73,33.45,33.45,33.45
C,2283050,104,104,104,62.18,62.18,67.26,67.26,67.26
